Date,Product,Category,Quantity,Revenue,Region
2024-01-02,Laptop Pro 15,Electronics,12,18000.00,North
2024-01-02,Wireless Mouse,Electronics,45,1350.00,North
2024-01-03,Office Chair,Furniture,8,2400.00,South
2024-01-03,Standing Desk,Furniture,5,3750.00,East
2024-01-04,Laptop Pro 15,Electronics,15,22500.00,West
2024-01-05,Monitor 27",Electronics,20,8000.00,North
2024-01-05,Keyboard Mechanical,Electronics,35,3500.00,South
2024-01-06,Webcam HD,Electronics,25,2500.00,East
2024-01-07,Office Chair,Furniture,12,3600.00,West
2024-01-08,Desk Lamp,Furniture,40,1600.00,North
2024-01-09,Laptop Pro 15,Electronics,18,27000.00,South
2024-01-10,Wireless Mouse,Electronics,60,1800.00,East
2024-01-11,Standing Desk,Furniture,7,5250.00,West
2024-01-12,Monitor 27",Electronics,25,10000.00,North
2024-01-13,Keyboard Mechanical,Electronics,42,4200.00,South
2024-01-14,Webcam HD,Electronics,30,3000.00,East
2024-01-15,Laptop Pro 15,Electronics,22,33000.00,West
2024-01-16,Office Chair,Furniture,15,4500.00,North
2024-01-17,Desk Lamp,Furniture,55,2200.00,South
2024-01-18,Monitor 27",Electronics,18,7200.00,East
2024-01-19,Wireless Mouse,Electronics,70,2100.00,West
2024-01-20,Standing Desk,Furniture,10,7500.00,North
2024-01-21,Keyboard Mechanical,Electronics,38,3800.00,South
2024-01-22,Laptop Pro 15,Electronics,25,37500.00,East
2024-01-23,Webcam HD,Electronics,35,3500.00,West
2024-01-24,Office Chair,Furniture,18,5400.00,North
2024-01-25,Desk Lamp,Furniture,48,1920.00,South
2024-01-26,Monitor 27",Electronics,22,8800.00,East
2024-01-27,Wireless Mouse,Electronics,55,1650.00,West
2024-01-28,Standing Desk,Furniture,8,6000.00,North
2024-01-29,Laptop Pro 15,Electronics,20,30000.00,South
2024-01-30,Keyboard Mechanical,Electronics,45,4500.00,East
2024-01-31,Webcam HD,Electronics,28,2800.00,West
2024-02-01,Office Chair,Furniture,14,4200.00,North
2024-02-02,Desk Lamp,Furniture,62,2480.00,South
2024-02-03,Laptop Pro 15,Electronics,28,42000.00,East
2024-02-04,Monitor 27",Electronics,30,12000.00,West
2024-02-05,Wireless Mouse,Electronics,80,2400.00,North
2024-02-06,Standing Desk,Furniture,12,9000.00,South
2024-02-07,Keyboard Mechanical,Electronics,50,5000.00,East
2024-02-08,Webcam HD,Electronics,40,4000.00,West
2024-02-09,Laptop Pro 15,Electronics,16,24000.00,North
2024-02-10,Office Chair,Furniture,20,6000.00,South
2024-02-11,Desk Lamp,Furniture,45,1800.00,East
2024-02-12,Monitor 27",Electronics,28,11200.00,West
2024-02-13,Wireless Mouse,Electronics,65,1950.00,North
2024-02-14,Standing Desk,Furniture,9,6750.00,South
2024-02-15,Keyboard Mechanical,Electronics,55,5500.00,East
2024-02-16,Laptop Pro 15,Electronics,30,45000.00,West
2024-02-17,Webcam HD,Electronics,38,3800.00,North
2024-02-18,Office Chair,Furniture,16,4800.00,South
2024-02-19,Desk Lamp,Furniture,50,2000.00,East
2024-02-20,Monitor 27",Electronics,24,9600.00,West
2024-02-21,Wireless Mouse,Electronics,75,2250.00,North
2024-02-22,Laptop Pro 15,Electronics,24,36000.00,South
2024-02-23,Standing Desk,Furniture,11,8250.00,East
2024-02-24,Keyboard Mechanical,Electronics,48,4800.00,West
2024-02-25,Webcam HD,Electronics,32,3200.00,North
2024-02-26,Office Chair,Furniture,22,6600.00,South
2024-02-27,Desk Lamp,Furniture,58,2320.00,East
2024-02-28,Monitor 27",Electronics,26,10400.00,West
2024-02-29,Laptop Pro 15,Electronics,32,48000.00,North
2024-03-01,Wireless Mouse,Electronics,85,2550.00,South
2024-03-02,Standing Desk,Furniture,14,10500.00,East
2024-03-03,Keyboard Mechanical,Electronics,52,5200.00,West
2024-03-04,Webcam HD,Electronics,42,4200.00,North
2024-03-05,Laptop Pro 15,Electronics,26,39000.00,South
2024-03-06,Office Chair,Furniture,24,7200.00,East
2024-03-07,Desk Lamp,Furniture,65,2600.00,West
2024-03-08,Monitor 27",Electronics,32,12800.00,North
2024-03-09,Wireless Mouse,Electronics,90,2700.00,South
2024-03-10,Standing Desk,Furniture,16,12000.00,East
2024-03-11,Keyboard Mechanical,Electronics,58,5800.00,West
2024-03-12,Laptop Pro 15,Electronics,35,52500.00,North
2024-03-13,Webcam HD,Electronics,45,4500.00,South
2024-03-14,Office Chair,Furniture,28,8400.00,East
2024-03-15,Desk Lamp,Furniture,70,2800.00,West
